;lat;lon;height;previous_lat;previous_lon;previous_height;last_speed_update;current_course_over_ground;current_speed;current_fuel_capacity;current_orientation_1;current_orientation_2;current_orientation_3;current_rotational_velocities_1;current_rotational_velocities_2;current_rotational_velocities_3;observer_lat;observer_lon;observer_height;north_from_observer;east_from_observer;down_from_observer;n1;n2;north_error;east_error;distance_to_target;yaw_setpoint;current_angle;tau_X;tau_N;target_north_from_observer;target_east_from_observer
2024-03-22_12:23:30:152745;59.90815443333334;10.719231733333334;0.0;59.90815443333334;10.719231733333334;0.0;1711106610.1514716;87.963;0.6061189999669523;0.76;-1.306;2.92;159.19;0.138;4.85;-4.791;59.908146216666665;10.7192148;0.0;0.8968564438322532;0.8896780879087847;1.2558093809289517e-07;697.2246623019366;96.83345120095909;-16.696856443832253;-2.4896780879087848;16.881454679243603;-2.993572659515001;2.778389636249773;60.20599417205203;22.881300553172075;-15.88;-1.7599999999999998
2024-03-22_12:23:30:252735;59.90815443333334;10.719231733333334;0.0;59.90815443333334;10.719231733333334;0.0;1711106610.251546;98.828;0.0;0.76;-1.315;3.065;159.019;0.165;3.763;-4.085;59.908146216666665;10.7192148;0.0;0.915424912966287;0.9474978329937367;1.364394780489775e-07;691.1805482057265;139.509270599225;-16.795424912966286;-2.7074978329937363;17.012255656518757;-2.981763192177906;2.775405123228863;60.411878430328926;21.994462487113957;-15.96;-1.9199999999999997
2024-03-22_12:23:30:352700;59.90815451666667;10.719233;0.0;59.90815451666667;10.719233;0.0;1711106610.3515418;108.331;0.7148530762554884;0.76;-1.183;3.059;158.644;2.652;-2.48;-0.362;59.908146216666665;10.7192148;0.0;0.915424912966287;0.9474978329937367;1.364394780489775e-07;697.3927558771134;107.51052353231671;-16.875424912966288;-2.8674978329937364;17.11731608095694;-2.9732787741517877;2.7688601385338845;60.49957910507336;22.78783697958158;-16.04;-2.0799999999999996
2024-03-22_12:23:30:452923;59.90815451666667;10.719233;0.0;59.90815451666667;10.719233;0.0;1711106610.451647;123.186;0.0;0.76;-0.996;2.902;158.649;4.508;-3.856;0.135;59.908146216666665;10.7192148;0.0;0.9247091589193989;1.018373652631994;1.4900507189219425e-07;701.4499749705651;88.76186102939303;-16.964709158919398;-3.0983736526319934;17.245326211412987;-2.9609472188404165;2.7689474049964837;60.74205203103952;23.23684052915582;-16.119999999999997;-2.2399999999999998
2024-03-22_12:23:30:552821;59.9081543;10.71923425;0.0;59.9081543;10.71923425;0.0;1711106610.5516949;133.859;0.7395758272226021;0.76;-0.084;2.243;158.731;9.14;-6.051;0.958;59.908146216666665;10.7192148;0.0;0.9247091589193989;1.018373652631994;1.4900507189219425e-07;702.6084785322947;92.68039116202758;-17.044709158919396;-3.2583736526319935;17.353360169497925;-2.9527053034896116;2.7703785749831193;61.02608320937223;23.280785508154278;-16.199999999999996;-2.4
2024-03-22_12:23:30:653332;59.9081543;10.71923425;0.0;59.9081543;10.71923425;0.0;1711106610.6519146;138.622;0.0;0.76;0.691;1.755;158.805;10.157;-6.028;1.164;59.908146216666665;10.7192148;0.0;0.900570187103632;1.0883169051019002;1.5618999127386957e-07;710.2150312427447;0.954929658551372;-17.100570187103628;-3.4883169051019003;17.452732036975675;-2.9403651104373387;2.7716701186295953;61.17142367840841;24.25494881684324;-16.279999999999994;-2.56
2024-03-22_12:23:30:753282;59.90815383333333;10.7192353;0.0;59.90815383333333;10.7192353;0.0;1711106610.7519941;142.568;0.7839276040611505;0.76;1.606;1.228;158.995;5.748;-3.338;2.235;59.908146216666665;10.7192148;0.0;0.900570187103632;1.0883169051019002;1.5618999127386957e-07;710.458930503154;38.73279268974805;-17.180570187103626;-3.6483169051019004;17.5636615827693;-2.9323495129615487;2.7749862442083844;61.51256716317429;24.153457657066742;-16.359999999999992;-2.72
2024-03-22_12:23:30:853477;59.90815383333333;10.7192353;0.0;59.90815383333333;10.7192353;0.0;1711106610.8520594;144.749;0.0;0.76;1.776;1.101;159.273;0.163;-0.927;3.993;59.908146216666665;10.7192148;0.0;0.8485785328594424;1.1470692476185576;1.5995256985590345e-07;715.7426219143337;0.954929658551372;-17.208578532859434;-3.8670692476185575;17.637726602016137;-2.920547087348265;2.7798382595289284;61.64755984191776;24.823475475324717;-16.43999999999999;-2.8800000000000003
2024-03-22_12:23:30:953352;59.90815311666667;10.7192363;0.0;59.90815311666667;10.7192363;0.0;1711106610.9521272;147.645;0.9743419224519306;0.76;1.041;1.258;160.035;-8.934;2.463;7.542;59.908146216666665;10.7192148;0.0;0.8485785328594424;1.1470692476185576;1.5995256985590345e-07;710.3985011622682;87.20357652481358;-17.288578532859432;-4.027069247618558;17.751400914067688;-2.912741032085577;2.793137668429125;62.24383437380572;23.856365301719602;-16.51999999999999;-3.0400000000000005
2024-03-22_12:23:31:053613;59.90815311666667;10.7192363;0.0;59.90815311666667;10.7192363;0.0;1711106611.052194;150.528;0.0;0.76;-0.059;1.544;160.757;-14.176;3.798;9.546;59.908146216666665;10.7192148;0.0;0.7687341978728469;1.2030238710892442;1.601934405681682e-07;715.2725786952918;50.05962855295212;-17.288734197872834;-4.243023871089244;17.801785914209024;-2.900927962491609;2.805738945628524;62.468660683972914;24.434574309002873;-16.599999999999987;-3.2000000000000006
